Row Labels,Average of BALANCE,Min of BALANCE,Max of BALANCE
0,4741.539963,3114.988266,16259.44857
1,2111.947503,1606.56766,16115.5964
2,195.7746896,107.13002,8781.831676
3,4942.140323,4263.008734,12474.72954
4,407.4682733,271.05166,7760.5254
5,1375.72221,1117.594403,12478.17286
6,1759.493994,1343.165153,19043.13856
7,4805.862026,3666.676179,13968.47957
8,1211.444235,911.281862,18495.55855
9,3009.294502,1892.439622,12358.32132
10,4007.303148,2638.45383,15244.74865
11,40.71709322,0,8220.740014
12,672.851075,466.723482,10495.73934
13,3393.716108,2233.074041,16304.88925
14,883.6399539,688.993252,11734.26656
Grand Total,1564.474828,0,19043.13856